rho_0,alpha,mean_error
65.0,4.75,3.51
65.0,5.0,3.5
65.0,5.25,3.48
65.0,5.5,3.44
65.0,5.75,3.45
65.0,6.0,3.42
65.0,6.25,3.39
65.0,6.5,3.41
65.0,6.75,3.45
65.0,7.0,3.42
67.5,1.0,14.11
67.5,1.25,13.44
67.5,1.5,12.34
67.5,1.75,9.58
67.5,2.0,5.59
67.5,2.25,3.32
67.5,2.5,2.86
67.5,2.75,2.67
67.5,3.0,2.68
67.5,3.25,2.87
67.5,3.5,3.09
67.5,3.75,3.28
67.5,4.0,3.34
67.5,4.25,3.4
67.5,4.5,3.43
67.5,4.75,3.4
67.5,5.0,3.42
67.5,5.25,3.41
67.5,5.5,3.4
67.5,5.75,3.41
67.5,6.0,3.36
67.5,6.25,3.39
67.5,6.5,3.43
67.5,6.75,3.4
67.5,7.0,3.41
70.0,1.0,13.51
70.0,1.25,12.57
70.0,1.5,10.05
70.0,1.75,6.36
70.0,2.0,3.46
70.0,2.25,2.85
70.0,2.5,2.68
70.0,2.75,2.7
70.0,3.0,2.89
70.0,3.25,3.13
70.0,3.5,3.28
70.0,3.75,3.3
70.0,4.0,3.38
70.0,4.25,3.34
70.0,4.5,3.36
70.0,4.75,3.38
70.0,5.0,3.35
70.0,5.25,3.35
70.0,5.5,3.33
70.0,5.75,3.36
70.0,6.0,3.37
70.0,6.25,3.39
70.0,6.5,3.41
70.0,6.75,3.47
70.0,7.0,3.53
72.5,1.0,12.73
72.5,1.25,10.63
72.5,1.5,7.17
72.5,1.75,3.66
72.5,2.0,2.87
72.5,2.25,2.68
72.5,2.5,2.72
72.5,2.75,2.94
72.5,3.0,3.14
72.5,3.25,3.25
72.5,3.5,3.27
72.5,3.75,3.29
72.5,4.0,3.26
72.5,4.25,3.27
72.5,4.5,3.34
72.5,4.75,3.3
72.5,5.0,3.31
72.5,5.25,3.29
72.5,5.5,3.31
72.5,5.75,3.33
72.5,6.0,3.38
72.5,6.25,3.44
72.5,6.5,3.51
72.5,6.75,3.58
72.5,7.0,3.65
75.0,1.0,11.19
75.0,1.25,7.97
75.0,1.5,3.97
75.0,1.75,2.89
75.0,2.0,2.72
75.0,2.25,2.75
75.0,2.5,2.98
75.0,2.75,3.17
75.0,3.0,3.23
75.0,3.25,3.22
75.0,3.5,3.2
75.0,3.75,3.18
75.0,4.0,3.25
75.0,4.25,3.27
75.0,4.5,3.25
75.0,4.75,3.27
75.0,5.0,3.26
75.0,5.25,3.27
75.0,5.5,3.37
75.0,5.75,3.46
75.0,6.0,3.5
75.0,6.25,3.58
75.0,6.5,3.77
75.0,6.75,4.25
75.0,7.0,4.6
77.5,1.0,8.71
77.5,1.25,4.43
77.5,1.5,2.95
77.5,1.75,2.73
77.5,2.0,2.79
77.5,2.25,3.0
77.5,2.5,3.18
77.5,2.75,3.21
77.5,3.0,3.19
77.5,3.25,3.13
77.5,3.5,3.16
77.5,3.75,3.23
77.5,4.0,3.19
77.5,4.25,3.21
77.5,4.5,3.22
77.5,4.75,3.25
77.5,5.0,3.37
77.5,5.25,3.44
77.5,5.5,3.53
77.5,5.75,3.6
77.5,6.0,4.06
77.5,6.25,4.48
77.5,6.5,4.76
77.5,6.75,5.76
77.5,7.0,6.19
80.0,1.0,5.09
80.0,1.25,3.03
80.0,1.5,2.75
80.0,1.75,2.83
80.0,2.0,3.04
80.0,2.25,3.19
80.0,2.5,3.16
80.0,2.75,3.15
80.0,3.0,3.09
80.0,3.25,3.17
80.0,3.5,3.19
80.0,3.75,3.15
80.0,4.0,3.19
80.0,4.25,3.2
80.0,4.5,3.32
80.0,4.75,3.41
80.0,5.0,3.51
80.0,5.25,3.8
80.0,5.5,4.34
80.0,5.75,4.68
80.0,6.0,5.69
80.0,6.25,6.16
80.0,6.5,11.6
80.0,6.75,22.13
80.0,7.0,22.13
