rho_0,alpha,cv_pw_distance
65.0,1.0,43.190714071938835
65.0,2.0,43.19112067592401
65.0,1.5,43.19226971415755
65.0,2.25,43.23736055169775
65.0,4.75,44.991511923752405
65.0,5.0,49.91880497605864
65.0,5.25,55.4929675771792
65.0,5.5,61.6033370754676
65.0,5.75,67.83814794758565
65.0,6.0,74.27871102796637
67.5,3.25,34.058541532130334
67.5,3.5,34.16763586396874
67.5,3.75,35.62338050385229
67.5,3.0,35.650105643568146
67.5,4.0,38.28070599870547
67.5,2.75,38.699617480085344
67.5,2.5,41.51329950250886
67.5,4.25,42.045531099079696
67.5,2.25,43.02731601107767
67.5,1.25,43.18909545339766
67.5,1.75,43.19062702572764
67.5,1.0,43.190714071938835
67.5,2.0,43.19198320170691
67.5,1.5,43.19226971415755
67.5,4.5,46.805653285493335
67.5,4.75,52.42423152642084
67.5,5.0,58.76518910543634
67.5,5.25,65.53906676772215
67.5,5.5,72.20059768843254
67.5,5.75,79.65655297478258
67.5,6.0,87.50316417410255
70.0,3.0,34.058059035181124
70.0,3.25,34.24128849498096
70.0,2.75,35.86315187347095
70.0,3.5,35.99073397710543
70.0,3.75,39.118153671807235
70.0,2.5,39.23684334858562
70.0,2.25,42.010532088663254
70.0,1.25,43.18909545339766
70.0,1.75,43.19062702572764
70.0,1.0,43.190714071938835
70.0,1.5,43.19226971415755
70.0,2.0,43.21588526335608
70.0,4.0,43.51940955181442
70.0,4.25,49.04690524443142
70.0,4.5,55.49524800109295
70.0,4.75,62.65810982251059
70.0,5.0,69.84795971333477
70.0,5.25,77.85176857226176
70.0,5.5,86.04533611223114
70.0,5.75,95.39165488115844
70.0,6.0,105.17859539799674
72.5,2.75,34.057702816696676
72.5,3.0,34.3391696302319
72.5,2.5,36.12888147811424
72.5,3.25,36.460923801680295
72.5,2.25,39.843283361764755
72.5,3.5,40.2089797682486
72.5,2.0,42.4921439771903
72.5,1.25,43.18909545339766
72.5,1.0,43.190714071938835
72.5,1.5,43.19226971415755
72.5,1.75,43.22441431958776
72.5,3.75,45.407722605685436
72.5,4.0,51.88305546518202
72.5,4.25,59.35716949531321
72.5,4.5,67.30758421136227
72.5,4.75,75.5461689052803
72.5,5.0,84.40596996021165
72.5,5.25,94.51144197590297
72.5,5.5,105.16962176640632
72.5,5.75,116.93051526330191
72.5,6.0,130.04872885464744
75.0,2.5,34.05887907517717
75.0,2.75,34.47204925654898
75.0,2.25,36.47008354498278
75.0,3.0,37.07978269505164
75.0,2.0,40.52820557375327
75.0,3.25,41.62364700386201
75.0,1.75,42.934066276128306
75.0,1.25,43.18909545339766
75.0,1.0,43.190714071938835
75.0,1.5,43.19226971415755
75.0,3.5,47.862050938489595
75.0,3.75,55.49748193513783
75.0,4.0,64.14073949045819
75.0,4.25,72.92409703416308
75.0,4.5,82.55902898661978
75.0,4.75,93.50214774846577
75.0,5.0,105.17720510207663
75.0,5.25,118.23576880863651
75.0,5.5,133.18473860055923
75.0,5.75,149.9079447343106
75.0,6.0,170.57212924383364
77.5,2.25,34.05948015022715
77.5,2.5,34.65354513152519
77.5,2.0,36.908945173070386
77.5,2.75,37.929081244780235
77.5,1.75,41.26270183834962
77.5,1.25,43.18909545339766
77.5,1.0,43.190714071938835
77.5,1.5,43.216953676454544
77.5,3.0,43.51886175726382
77.5,3.25,51.118383859213054
77.5,3.5,60.229855526502874
77.5,3.75,69.84802645939217
77.5,4.0,80.4451974974785
77.5,4.25,92.28236795125251
77.5,4.5,105.17041035592925
77.5,4.75,119.77805322004365
77.5,5.0,137.13313300534423
77.5,5.25,155.88678183319038
77.5,5.5,183.3051494106168
77.5,5.75,210.45964159966525
77.5,6.0,233.6934881694975
80.0,2.0,34.058585573841754
80.0,2.25,34.92202029349085
80.0,1.75,37.4839513811101
80.0,2.5,39.12258663874504
80.0,1.5,42.01038416416148
80.0,1.0,43.190714071938835
80.0,1.25,43.19967779370931
80.0,2.75,46.15225567616723
80.0,3.0,55.49320473940165
80.0,3.25,66.38026323860802
80.0,3.5,77.86099591890316
80.0,3.75,90.72600652755742
80.0,4.0,105.17165283186434
80.0,4.25,121.62711893654354
80.0,4.5,141.8782137185305
80.0,4.75,164.22380018395967
80.0,5.0,198.5439390979417
80.0,5.25,224.89169213148793
80.0,5.5,257.8111554930817
80.0,5.75,290.93822799385583
80.0,6.0,360.16154210539116
