rho_0,alpha,device,mean_error,error_list
40.0,4.0,1210,10.02,"[8.6, 0.0, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 13.82, 10.54, 12.49, 14.54, 11.81, 13.58, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 3.05, 5.02, 24.7, 24.81, 4.6, 22.7, 22.82, 4.6, 0.0, 2.2, 4.4, 6.6, 2.0, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 3.06, 28.5, 5.02, 3.05, 0.0, 6.1, 3.05, 2.0, 5.02, 3.05, 0.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 6.76, 7.73, 8.68, 9.55, 11.08, 6.76, 6.89, 6.9, 19.68, 17.81, 16.03, 14.18, 12.74, 3.6, 1.8, 31.7, 5.55, 3.83, 2.22, 3.2, 7.61, 7.57, 8.72, 12.47, 10.8, 9.27]"
40.0,4.0,1211,9.7,"[2.0, 0.0, 6.6, 4.7, 3.05, 2.0, 5.87, 4.61, 4.0, 7.41, 3.05, 2.0, 4.6, 2.3, 0.0, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 26.8, 27.09, 24.7, 24.81, 4.6, 22.7, 22.82, 5.02, 0.0, 2.2, 2.0, 2.97, 38.67, 4.57, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 5.07, 2.3, 28.5, 5.02, 2.3, 2.0, 5.02, 3.05, 2.0, 4.6, 3.05, 2.0, 6.0, 6.43, 7.56, 4.61, 6.1, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 9.97, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.14, 8.35, 7.18, 5.0, 6.6, 6.84, 6.76, 6.89, 6.9, 19.68, 17.81, 16.03, 14.18, 5.4, 3.6, 1.8, 31.7, 5.4, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 12.47, 10.8, 9.27]"
40.0,4.0,1212,11.24,"[13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 13.82, 10.54, 12.49, 14.54, 11.81, 13.58, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 26.8, 27.09, 24.7, 24.81, 4.6, 22.7, 22.82, 5.02, 0.0, 2.2, 4.4, 6.6, 2.0, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 20.97, 2.3, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 2.0, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 5.07, 3.06, 1.9, 5.02, 4.58, 26.5, 24.89, 3.05, 2.0, 22.93, 22.6, 2.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 9.97, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.7, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 6.76, 7.73, 7.1, 7.28, 9.55, 11.08, 31.46, 29.5, 21.57, 19.68, 17.81, 16.03, 14.18, 5.4, 3.6, 31.74, 31.7, 5.55, 3.83, 1.3, 27.55, 8.73, 8.72, 12.47, 10.8, 9.27]"
40.0,4.0,121D,9.36,"[8.6, 0.0, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 13.82, 10.54, 12.49, 14.54, 11.81, 13.58, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 26.8, 5.02, 24.7, 24.81, 4.6, 22.7, 22.82, 23.16, 0.0, 2.2, 4.4, 6.6, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 20.97, 3.05, 0.0, 19.02, 18.62, 18.5, 17.08, 16.63, 0.0, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 5.07, 3.06, 0.0, 5.02, 3.05, 2.0, 6.1, 3.05, 4.0, 22.93, 4.61, 2.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.9, 6.11, 6.76, 7.73, 7.1, 7.28, 7.83, 8.68, 9.55, 11.08, 12.74, 6.89, 7.55, 6.9, 17.81, 15.97, 14.22, 5.4, 3.6, 1.8, 0.0, 5.55, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 12.47, 10.8, 9.27]"
40.0,4.0,1F61,8.11,"[6.4, 0.0, 0.0, 6.74, 3.05, 2.0, 6.1, 4.61, 4.0, 8.84, 3.05, 2.0, 4.6, 2.3, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 3.05, 5.02, 24.7, 24.81, 4.6, 22.7, 2.3, 4.6, 0.0, 2.2, 4.4, 2.97, 4.83, 4.57, 4.0, 4.57, 5.95, 20.97, 2.3, 2.0, 4.6, 18.62, 2.0, 17.08, 16.63, 0.0, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 4.6, 2.3, 0.0, 4.6, 2.3, 0.0, 6.1, 3.05, 2.0, 6.1, 3.05, 4.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 4.61, 5.02, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.93, 6.0, 6.53, 36.96, 7.13, 7.18, 7.63, 8.18, 6.79, 6.76, 6.89, 7.55, 19.68, 17.81, 16.03, 14.22, 5.4, 3.6, 1.8, 0.0, 5.55, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 12.47, 10.8, 9.27]"
40.0,4.0,2005,9.69,"[8.6, 10.9, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 13.82, 10.54, 3.05, 14.54, 11.81, 13.58, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 26.8, 5.02, 24.7, 24.81, 4.6, 22.7, 22.82, 5.02, 0.0, 2.2, 4.4, 6.6, 2.0, 2.97, 4.83, 6.9, 4.57, 7.72, 20.97, 3.05, 2.0, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 4.6, 3.05, 28.5, 5.02, 2.3, 2.0, 5.02, 2.3, 2.0, 22.93, 2.3, 0.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 5.02, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.9, 6.11, 6.76, 7.73, 7.1, 7.28, 7.83, 8.68, 9.55, 11.08, 6.71, 6.89, 7.55, 19.68, 17.81, 16.03, 14.22, 12.74, 3.6, 1.8, 16.64, 5.55, 3.83, 2.22, 1.3, 7.61, 7.57, 7.57, 12.47, 10.8, 9.27]"
40.0,4.0,2055,9.92,"[8.6, 10.9, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 13.82, 10.54, 12.49, 2.0, 11.81, 13.58, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 26.8, 5.02, 24.7, 24.81, 4.6, 22.7, 22.82, 5.02, 0.0, 2.2, 4.4, 2.0, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 20.97, 3.05, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 0.0, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 5.07, 2.3, 28.5, 5.02, 2.3, 0.0, 6.1, 3.05, 2.0, 6.1, 3.05, 2.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 7.15, 4.79, 3.11, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 21.2, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.9, 6.76, 7.73, 7.1, 9.55, 11.08, 6.71, 6.89, 7.55, 19.68, 17.81, 16.03, 14.22, 5.4, 3.6, 1.8, 31.7, 5.55, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 12.47, 10.8, 9.27]"
40.0,4.25,1002,7.34,"[2.0, 0.0, 0.0, 2.9, 3.05, 39.6, 7.6, 4.61, 4.0, 5.02, 3.05, 2.0, 5.07, 2.3, 0.0, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 2.0, 3.05, 5.02, 8.0, 2.3, 4.6, 2.0, 3.05, 4.6, 2.97, 4.83, 6.9, 0.0, 4.4, 6.6, 2.97, 4.83, 6.9, 5.02, 3.05, 0.0, 4.6, 2.3, 0.0, 17.08, 3.05, 2.0, 15.15, 14.65, 2.0, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 4.6, 3.05, 2.0, 4.6, 3.05, 0.0, 6.1, 2.3, 2.0, 4.6, 3.05, 0.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 4.22, 5.11, 6.34, 36.96, 7.14, 8.22, 6.79, 6.76, 6.89, 6.9, 6.9, 17.81, 16.03, 14.18, 5.4, 3.6, 1.8, 31.7, 5.55, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 12.47, 10.8, 9.27]"
40.0,4.25,104D,6.78,"[2.0, 2.3, 6.6, 2.9, 4.79, 2.0, 4.56, 5.94, 4.0, 5.02, 3.05, 2.0, 4.6, 2.3, 0.0, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 2.0, 3.05, 5.02, 8.0, 3.05, 4.6, 0.0, 3.05, 4.6, 42.19, 4.83, 6.9, 0.0, 2.2, 4.4, 6.6, 4.6, 3.05, 2.0, 19.02, 2.3, 0.0, 17.08, 3.05, 0.0, 15.15, 14.65, 0.0, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 3.05, 8.5, 7.85, 6.83, 6.5, 4.6, 3.05, 2.0, 4.6, 3.05, 0.0, 6.1, 2.3, 2.0, 5.02, 3.05, 2.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 9.97, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 0.0, 20.7, 4.61, 5.02, 18.7, 18.84, 5.02, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 3.81, 5.35, 7.21, 6.79, 6.71, 6.89, 7.55, 6.9, 6.9, 15.97, 14.22, 5.4, 3.6, 1.8, 0.0, 5.55, 3.83, 2.22, 1.3, 6.82, 6.82, 6.91, 12.46, 10.8, 9.27]"
40.0,4.25,10CE,8.49,"[8.6, 10.9, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 37.6, 10.54, 35.66, 3.9, 11.81, 13.58, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 3.05, 5.02, 24.7, 2.3, 4.6, 26.04, 22.82, 4.6, 0.0, 2.2, 4.4, 6.6, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 20.97, 3.05, 0.0, 19.02, 18.62, 0.0, 17.08, 16.63, 2.0, 5.02, 3.05, 2.0, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 4.6, 3.05, 2.0, 4.6, 2.3, 0.0, 5.02, 2.3, 0.0, 4.6, 3.05, 0.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 7.15, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 5.02, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.9, 6.11, 6.76, 7.73, 7.1, 7.28, 8.68, 9.55, 6.79, 6.71, 6.61, 6.9, 7.18, 7.18, 15.97, 14.18, 5.4, 3.6, 2.22, 0.0, 5.4, 3.83, 2.22, 0.0, 6.82, 6.82, 6.82, 12.47, 10.8, 9.27]"
40.0,4.25,1210,6.26,"[8.6, 0.0, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 13.82, 10.54, 3.05, 14.54, 11.81, 2.3, 1.9, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 22.7, 2.3, 4.6, 0.0, 2.2, 4.4, 6.6, 2.0, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 5.02, 3.05, 2.0, 4.6, 2.3, 0.0, 17.08, 3.05, 0.0, 5.02, 3.05, 2.0, 7.56, 4.61, 4.0, 9.31, 10.71, 4.0, 9.57, 3.05, 6.2, 7.85, 6.83, 4.2, 4.6, 2.3, 2.0, 4.6, 2.3, 0.0, 5.02, 3.05, 0.0, 5.02, 2.3, 0.0, 6.0, 6.43, 6.1, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 4.0, 4.61, 5.02, 2.0, 3.05, 5.02, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 6.76, 7.73, 8.68, 9.55, 11.08, 6.71, 6.61, 6.9, 6.9, 7.18, 16.03, 14.18, 5.4, 3.6, 1.8, 0.0, 5.4, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 12.47, 10.8, 9.27]"
40.0,4.25,1211,7.37,"[2.0, 0.0, 6.6, 2.9, 3.05, 6.0, 5.87, 4.61, 4.0, 5.02, 3.05, 2.0, 4.6, 2.3, 0.0, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 13.96, 3.05, 5.02, 24.7, 24.81, 4.6, 22.7, 3.05, 5.02, 0.0, 2.2, 2.0, 2.97, 38.67, 4.57, 20.97, 2.3, 20.5, 4.6, 2.3, 18.5, 17.08, 3.05, 2.0, 15.15, 14.65, 2.0, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 2.0, 7.85, 6.83, 6.5, 4.6, 2.3, 0.0, 4.6, 2.3, 2.0, 5.02, 3.05, 2.0, 4.6, 3.05, 2.0, 6.0, 6.43, 7.56, 4.61, 6.1, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 9.97, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 4.61, 5.02, 18.7, 18.84, 5.02, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.14, 8.35, 3.3, 5.0, 6.6, 6.84, 6.71, 6.89, 6.9, 6.9, 7.18, 6.4, 6.71, 5.4, 3.6, 1.8, 0.0, 5.4, 3.83, 2.22, 1.3, 6.82, 6.82, 6.91, 6.68, 10.8, 9.27]"
40.0,4.25,1212,7.99,"[13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 4.0, 10.54, 12.49, 14.54, 11.81, 2.3, 1.9, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 3.05, 5.02, 24.7, 2.3, 4.6, 26.04, 2.3, 5.02, 0.0, 2.2, 4.4, 6.6, 2.0, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 4.6, 2.3, 0.0, 4.6, 2.3, 0.0, 17.08, 16.63, 2.0, 6.1, 3.05, 2.0, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 3.05, 8.5, 7.85, 6.83, 6.5, 4.6, 2.3, 0.0, 4.6, 3.05, 0.0, 7.54, 3.05, 0.0, 7.56, 4.61, 0.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 7.99, 4.79, 4.79, 6.8, 4.79, 3.11, 2.3, 6.7, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 5.02, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 6.76, 7.73, 7.1, 7.28, 9.55, 11.08, 31.46, 29.5, 6.9, 6.9, 17.81, 16.03, 14.18, 5.55, 3.6, 1.8, 0.0, 5.55, 3.83, 0.0, 7.61, 7.57, 8.72, 12.47, 10.8, 9.27]"
40.0,4.25,121D,7.75,"[8.6, 0.0, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 13.82, 10.54, 12.49, 14.54, 4.6, 13.58, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 2.0, 3.05, 5.02, 27.78, 3.05, 4.6, 2.0, 22.82, 5.02, 0.0, 2.2, 4.4, 6.6, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 5.02, 3.05, 0.0, 19.02, 18.62, 0.0, 17.08, 16.63, 2.0, 15.15, 3.05, 2.0, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 3.05, 8.5, 7.85, 6.83, 6.5, 4.6, 2.3, 2.0, 5.02, 3.05, 0.0, 5.02, 3.05, 2.0, 7.56, 3.05, 0.0, 6.0, 6.43, 6.1, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 4.61, 5.02, 18.7, 18.84, 5.02, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.9, 6.11, 6.76, 7.73, 7.1, 7.28, 7.83, 8.68, 9.55, 11.08, 6.71, 6.89, 7.55, 6.9, 17.81, 15.97, 14.22, 5.4, 3.83, 2.22, 0.0, 5.4, 3.6, 1.8, 1.3, 6.82, 6.82, 6.99, 12.47, 10.8, 9.27]"
40.0,4.25,1F61,5.98,"[2.0, 0.0, 0.0, 6.74, 3.05, 6.0, 7.6, 4.61, 4.0, 5.02, 3.05, 2.0, 5.07, 3.06, 1.9, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 7.64, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 22.7, 2.3, 4.6, 0.0, 2.2, 4.4, 2.97, 4.83, 4.57, 4.0, 4.57, 5.95, 5.02, 2.3, 2.0, 4.6, 2.3, 2.0, 17.08, 3.05, 0.0, 15.15, 4.61, 2.0, 13.25, 6.43, 12.5, 6.1, 8.46, 10.5, 9.57, 8.76, 2.0, 7.85, 2.3, 4.2, 5.02, 2.3, 0.0, 4.6, 2.3, 0.0, 5.02, 3.05, 2.0, 4.6, 3.05, 2.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 4.61, 5.02, 18.7, 18.84, 5.02, 16.7, 2.3, 17.32, 14.7, 14.88, 5.02, 5.93, 3.81, 5.35, 36.96, 7.13, 4.53, 7.63, 6.6, 6.79, 6.71, 6.89, 6.71, 6.9, 7.18, 6.4, 6.4, 5.4, 3.6, 1.8, 0.0, 5.55, 3.83, 2.22, 0.0, 6.82, 6.82, 7.57, 6.68, 6.62, 7.94]"
40.0,4.25,2005,7.32,"[8.6, 4.3, 13.2, 8.85, 11.1, 6.0, 9.53, 11.65, 13.82, 10.54, 3.05, 2.0, 4.6, 2.3, 15.49, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 3.05, 5.02, 27.78, 3.05, 4.6, 22.7, 3.05, 5.02, 0.0, 2.2, 4.4, 6.6, 2.0, 2.97, 4.83, 6.9, 4.57, 7.72, 5.02, 3.05, 2.0, 4.6, 2.3, 0.0, 17.08, 3.05, 0.0, 15.15, 14.65, 2.0, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 2.0, 7.85, 6.83, 6.5, 5.02, 3.05, 0.0, 5.02, 2.3, 0.0, 5.02, 2.3, 2.0, 6.1, 2.3, 0.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 4.61, 5.02, 18.7, 3.05, 5.02, 16.7, 2.3, 17.32, 14.7, 14.88, 15.4, 5.9, 6.11, 6.76, 7.73, 7.1, 7.28, 7.83, 8.68, 9.55, 6.79, 6.71, 6.61, 7.55, 19.68, 17.81, 16.03, 14.22, 5.4, 3.6, 1.8, 0.0, 5.4, 3.83, 2.22, 1.3, 7.61, 6.82, 7.57, 12.47, 10.8, 9.27]"
40.0,4.25,2055,7.12,"[8.6, 0.0, 13.2, 8.85, 11.1, 13.37, 9.53, 11.65, 4.0, 10.54, 3.05, 2.0, 4.6, 2.3, 1.9, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 5.02, 27.78, 2.3, 4.6, 26.04, 3.05, 5.02, 0.0, 2.2, 4.4, 2.0, 2.97, 4.83, 6.9, 4.0, 4.57, 5.95, 7.72, 20.97, 3.05, 2.0, 4.6, 2.3, 0.0, 5.02, 16.63, 0.0, 5.02, 3.05, 2.0, 7.56, 4.61, 4.0, 11.38, 3.05, 4.0, 5.02, 3.05, 2.0, 7.85, 6.83, 6.5, 4.6, 2.3, 2.0, 5.02, 2.3, 0.0, 5.02, 3.05, 2.0, 6.1, 3.05, 0.0, 6.0, 6.43, 6.1, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 7.15, 4.79, 3.11, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 5.02, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 5.9, 6.76, 7.73, 7.1, 9.55, 6.79, 6.71, 6.61, 7.55, 6.9, 7.18, 6.4, 6.4, 5.55, 3.6, 1.8, 0.0, 5.55, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 6.41, 10.8, 9.27]"
40.0,4.5,1002,5.61,"[2.0, 0.0, 8.0, 2.9, 2.0, 6.0, 4.56, 4.61, 4.0, 5.02, 4.58, 2.0, 5.07, 3.06, 0.0, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 7.64, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 2.0, 3.05, 4.6, 2.97, 4.83, 6.9, 0.0, 4.4, 6.6, 2.97, 4.83, 6.9, 5.02, 3.05, 0.0, 5.02, 2.3, 0.0, 5.02, 3.05, 2.0, 6.1, 3.05, 2.0, 13.25, 4.61, 12.5, 11.38, 10.71, 10.5, 9.57, 3.05, 6.2, 7.85, 6.83, 4.2, 4.6, 3.05, 2.0, 5.02, 3.05, 2.0, 5.02, 2.3, 0.0, 4.6, 3.05, 0.0, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 4.61, 5.02, 2.0, 3.05, 5.02, 16.7, 2.3, 4.6, 14.7, 14.88, 15.4, 4.22, 5.11, 6.34, 36.96, 7.14, 8.22, 6.79, 6.71, 6.89, 6.9, 6.9, 7.18, 6.4, 6.4, 5.55, 3.83, 1.8, 0.0, 5.55, 3.83, 2.22, 1.3, 6.82, 6.82, 7.57, 6.68, 10.8, 9.27]"
40.0,4.5,104D,5.2,"[2.0, 2.3, 6.6, 2.9, 4.79, 4.0, 4.56, 5.94, 4.0, 5.02, 3.05, 2.0, 4.6, 3.06, 0.0, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 5.14, 2.0, 3.05, 5.02, 8.0, 3.05, 4.6, 0.0, 2.3, 4.6, 42.19, 4.83, 6.9, 0.0, 2.2, 4.4, 6.6, 4.6, 3.05, 2.0, 4.6, 2.3, 0.0, 5.02, 3.05, 0.0, 5.02, 2.3, 0.0, 13.25, 6.43, 4.0, 11.38, 3.05, 10.5, 7.6, 2.3, 0.0, 7.85, 2.3, 0.0, 5.02, 3.05, 4.0, 4.6, 3.05, 0.0, 6.1, 2.3, 0.0, 5.02, 3.05, 2.0, 6.0, 6.43, 6.1, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 7.99, 4.79, 2.0, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 0.0, 4.0, 4.61, 5.02, 2.0, 3.05, 5.02, 16.7, 2.3, 5.02, 14.7, 3.05, 15.4, 3.81, 5.35, 7.38, 6.79, 6.71, 6.61, 6.71, 6.9, 6.9, 6.4, 6.4, 5.4, 3.83, 1.8, 0.0, 5.4, 3.83, 2.22, 1.3, 6.82, 6.82, 6.91, 6.68, 9.27, 9.27]"
