rho_0,alpha,mean_error
65.0,4.75,3.94
65.0,5.0,3.87
65.0,5.25,3.8
65.0,5.5,3.73
65.0,5.75,3.7
65.0,6.0,3.68
65.0,6.25,3.65
65.0,6.5,3.66
65.0,6.75,3.67
65.0,7.0,3.68
67.5,1.0,14.27
67.5,1.25,13.61
67.5,1.5,12.54
67.5,1.75,9.95
67.5,2.0,6.05
67.5,2.25,3.65
67.5,2.5,2.93
67.5,2.75,2.73
67.5,3.0,2.85
67.5,3.25,3.2
67.5,3.5,3.56
67.5,3.75,3.78
67.5,4.0,3.81
67.5,4.25,3.84
67.5,4.5,3.88
67.5,4.75,3.8
67.5,5.0,3.72
67.5,5.25,3.7
67.5,5.5,3.68
67.5,5.75,3.65
67.5,6.0,3.66
67.5,6.25,3.66
67.5,6.5,3.68
67.5,6.75,3.66
67.5,7.0,3.69
70.0,1.0,13.68
70.0,1.25,12.75
70.0,1.5,10.41
70.0,1.75,6.77
70.0,2.0,3.77
70.0,2.25,2.89
70.0,2.5,2.75
70.0,2.75,2.86
70.0,3.0,3.26
70.0,3.25,3.62
70.0,3.5,3.77
70.0,3.75,3.78
70.0,4.0,3.88
70.0,4.25,3.8
70.0,4.5,3.72
70.0,4.75,3.69
70.0,5.0,3.68
70.0,5.25,3.65
70.0,5.5,3.66
70.0,5.75,3.66
70.0,6.0,3.67
70.0,6.25,3.67
70.0,6.5,3.71
70.0,6.75,3.79
70.0,7.0,3.83
72.5,1.0,12.91
72.5,1.25,10.93
72.5,1.5,7.55
72.5,1.75,3.98
72.5,2.0,2.91
72.5,2.25,2.77
72.5,2.5,2.88
72.5,2.75,3.32
72.5,3.0,3.66
72.5,3.25,3.76
72.5,3.5,3.77
72.5,3.75,3.8
72.5,4.0,3.74
72.5,4.25,3.68
72.5,4.5,3.68
72.5,4.75,3.65
72.5,5.0,3.66
72.5,5.25,3.66
72.5,5.5,3.67
72.5,5.75,3.67
72.5,6.0,3.73
72.5,6.25,3.8
72.5,6.5,3.85
72.5,6.75,3.91
72.5,7.0,3.98
75.0,1.0,11.44
75.0,1.25,8.32
75.0,1.5,4.32
75.0,1.75,2.94
75.0,2.0,2.82
75.0,2.25,2.96
75.0,2.5,3.37
75.0,2.75,3.7
75.0,3.0,3.74
75.0,3.25,3.76
75.0,3.5,3.73
75.0,3.75,3.67
75.0,4.0,3.67
75.0,4.25,3.65
75.0,4.5,3.66
75.0,4.75,3.66
75.0,5.0,3.68
75.0,5.25,3.68
75.0,5.5,3.75
75.0,5.75,3.83
75.0,6.0,3.89
75.0,6.25,3.95
75.0,6.5,4.1
75.0,6.75,4.56
75.0,7.0,4.88
77.5,1.0,9.04
77.5,1.25,4.79
77.5,1.5,3.02
77.5,1.75,2.86
77.5,2.0,3.02
77.5,2.25,3.44
77.5,2.5,3.72
77.5,2.75,3.73
77.5,3.0,3.73
77.5,3.25,3.68
77.5,3.5,3.67
77.5,3.75,3.66
77.5,4.0,3.66
77.5,4.25,3.66
77.5,4.5,3.68
77.5,4.75,3.7
77.5,5.0,3.78
77.5,5.25,3.85
77.5,5.5,3.91
77.5,5.75,4.02
77.5,6.0,4.42
77.5,6.25,4.83
77.5,6.5,5.11
77.5,6.75,6.15
77.5,7.0,6.62
80.0,1.0,5.45
80.0,1.25,3.18
80.0,1.5,2.94
80.0,1.75,3.08
80.0,2.0,3.48
80.0,2.25,3.74
80.0,2.5,3.67
80.0,2.75,3.7
80.0,3.0,3.67
80.0,3.25,3.67
80.0,3.5,3.66
80.0,3.75,3.65
80.0,4.0,3.68
80.0,4.25,3.7
80.0,4.5,3.81
80.0,4.75,3.88
80.0,5.0,3.97
80.0,5.25,4.28
80.0,5.5,4.78
80.0,5.75,5.08
80.0,6.0,6.16
80.0,6.25,6.72
80.0,6.5,11.92
80.0,6.75,22.13
80.0,7.0,22.13
