rho_0,alpha,device,,error_list
40.0,1.5,10CE,max,44.22
40.0,1.5,10CE,min,0.7
40.0,1.5,10CE,count,146.0
40.0,1.5,10CE,std,12.2
40.0,1.5,1210,mean,20.52
40.0,1.5,1210,median,19.54
40.0,1.5,1210,rmse,23.81
40.0,1.5,1210,max,44.2
40.0,1.5,1210,min,0.7
40.0,1.5,1210,count,143.0
40.0,1.5,1210,std,12.06
40.0,1.5,1211,mean,21.49
40.0,1.5,1211,median,21.03
40.0,1.5,1211,rmse,24.51
40.0,1.5,1211,max,42.77
40.0,1.5,1211,min,0.7
40.0,1.5,1211,count,136.0
40.0,1.5,1211,std,11.78
40.0,1.5,1212,mean,21.24
40.0,1.5,1212,median,19.98
40.0,1.5,1212,rmse,24.48
40.0,1.5,1212,max,44.2
40.0,1.5,1212,min,0.7
40.0,1.5,1212,count,141.0
40.0,1.5,1212,std,12.16
40.0,1.5,121D,mean,21.28
40.0,1.5,121D,median,20.66
40.0,1.5,121D,rmse,24.57
40.0,1.5,121D,max,44.21
40.0,1.5,121D,min,0.7
40.0,1.5,121D,count,147.0
40.0,1.5,121D,std,12.27
40.0,1.5,1F61,mean,21.88
40.0,1.5,1F61,median,21.46
40.0,1.5,1F61,rmse,25.05
40.0,1.5,1F61,max,43.6
40.0,1.5,1F61,min,0.7
40.0,1.5,1F61,count,144.0
40.0,1.5,1F61,std,12.18
40.0,1.5,2005,mean,20.41
40.0,1.5,2005,median,19.4
40.0,1.5,2005,rmse,23.64
40.0,1.5,2005,max,44.21
40.0,1.5,2005,min,0.7
40.0,1.5,2005,count,145.0
40.0,1.5,2005,std,11.94
40.0,1.5,2055,mean,19.59
40.0,1.5,2055,median,18.0
40.0,1.5,2055,rmse,22.68
40.0,1.5,2055,max,44.21
40.0,1.5,2055,min,0.7
40.0,1.5,2055,count,141.0
40.0,1.5,2055,std,11.44
40.0,1.75,1002,mean,21.87
40.0,1.75,1002,median,21.89
40.0,1.75,1002,rmse,24.89
40.0,1.75,1002,max,42.95
40.0,1.75,1002,min,0.7
40.0,1.75,1002,count,141.0
40.0,1.75,1002,std,11.88
40.0,1.75,104D,mean,21.05
40.0,1.75,104D,median,20.32
40.0,1.75,104D,rmse,24.07
40.0,1.75,104D,max,42.7
40.0,1.75,104D,min,0.7
40.0,1.75,104D,count,136.0
40.0,1.75,104D,std,11.67
40.0,1.75,10CE,mean,20.34
40.0,1.75,10CE,median,19.4
40.0,1.75,10CE,rmse,23.65
40.0,1.75,10CE,max,44.21
40.0,1.75,10CE,min,0.7
40.0,1.75,10CE,count,146.0
40.0,1.75,10CE,std,12.07
40.0,1.75,1210,mean,19.53
40.0,1.75,1210,median,18.05
40.0,1.75,1210,rmse,22.81
40.0,1.75,1210,max,43.96
40.0,1.75,1210,min,0.7
40.0,1.75,1210,count,143.0
40.0,1.75,1210,std,11.78
40.0,1.75,1211,mean,21.4
40.0,1.75,1211,median,21.03
40.0,1.75,1211,rmse,24.4
40.0,1.75,1211,max,42.77
40.0,1.75,1211,min,0.7
40.0,1.75,1211,count,136.0
40.0,1.75,1211,std,11.73
40.0,1.75,1212,mean,20.76
40.0,1.75,1212,median,19.56
40.0,1.75,1212,rmse,23.99
40.0,1.75,1212,max,43.95
40.0,1.75,1212,min,0.7
40.0,1.75,1212,count,141.0
40.0,1.75,1212,std,12.03
40.0,1.75,121D,mean,20.55
40.0,1.75,121D,median,19.56
40.0,1.75,121D,rmse,23.87
40.0,1.75,121D,max,44.2
40.0,1.75,121D,min,0.7
40.0,1.75,121D,count,147.0
40.0,1.75,121D,std,12.13
40.0,1.75,1F61,mean,21.75
40.0,1.75,1F61,median,21.46
40.0,1.75,1F61,rmse,24.91
40.0,1.75,1F61,max,43.36
40.0,1.75,1F61,min,0.7
40.0,1.75,1F61,count,144.0
40.0,1.75,1F61,std,12.14
40.0,1.75,2005,mean,19.47
40.0,1.75,2005,median,18.0
40.0,1.75,2005,rmse,22.61
40.0,1.75,2005,max,44.2
40.0,1.75,2005,min,0.7
40.0,1.75,2005,count,145.0
40.0,1.75,2005,std,11.49
40.0,1.75,2055,mean,19.09
40.0,1.75,2055,median,17.55
40.0,1.75,2055,rmse,22.14
40.0,1.75,2055,max,44.2
40.0,1.75,2055,min,0.7
40.0,1.75,2055,count,141.0
40.0,1.75,2055,std,11.21
40.0,2.0,1002,mean,21.75
40.0,2.0,1002,median,21.55
40.0,2.0,1002,rmse,24.85
40.0,2.0,1002,max,42.95
40.0,2.0,1002,min,0.7
40.0,2.0,1002,count,141.0
40.0,2.0,1002,std,12.02
40.0,2.0,104D,mean,20.25
40.0,2.0,104D,median,19.55
40.0,2.0,104D,rmse,23.32
40.0,2.0,104D,max,42.77
40.0,2.0,104D,min,0.7
40.0,2.0,104D,count,136.0
40.0,2.0,104D,std,11.58
40.0,2.0,10CE,mean,19.68
40.0,2.0,10CE,median,18.02
40.0,2.0,10CE,rmse,22.99
40.0,2.0,10CE,max,44.2
40.0,2.0,10CE,min,0.7
40.0,2.0,10CE,count,146.0
40.0,2.0,10CE,std,11.9
40.0,2.0,1210,mean,17.6
40.0,2.0,1210,median,15.57
40.0,2.0,1210,rmse,20.57
40.0,2.0,1210,max,44.05
40.0,2.0,1210,min,0.7
40.0,2.0,1210,count,143.0
40.0,2.0,1210,std,10.63
40.0,2.0,1211,mean,21.1
40.0,2.0,1211,median,20.32
40.0,2.0,1211,rmse,24.12
40.0,2.0,1211,max,42.77
40.0,2.0,1211,min,0.7
40.0,2.0,1211,count,136.0
40.0,2.0,1211,std,11.69
40.0,2.0,1212,mean,18.95
40.0,2.0,1212,median,17.58
40.0,2.0,1212,rmse,22.15
40.0,2.0,1212,max,43.12
40.0,2.0,1212,min,0.7
40.0,2.0,1212,count,141.0
40.0,2.0,1212,std,11.47
40.0,2.0,121D,mean,19.46
40.0,2.0,121D,median,18.0
40.0,2.0,121D,rmse,22.73
40.0,2.0,121D,max,43.96
40.0,2.0,121D,min,0.7
40.0,2.0,121D,count,147.0
40.0,2.0,121D,std,11.75
40.0,2.0,1F61,mean,21.72
40.0,2.0,1F61,median,21.4
40.0,2.0,1F61,rmse,24.89
40.0,2.0,1F61,max,43.41
40.0,2.0,1F61,min,0.7
40.0,2.0,1F61,count,144.0
40.0,2.0,1F61,std,12.16
