rho_0,alpha,device,,error_list
47.5,1.5,1211,min,0.7
47.5,1.5,1211,count,136.0
47.5,1.5,1211,std,11.67
47.5,1.5,1212,mean,18.07
47.5,1.5,1212,median,16.96
47.5,1.5,1212,rmse,21.23
47.5,1.5,1212,max,42.06
47.5,1.5,1212,min,0.7
47.5,1.5,1212,count,141.0
47.5,1.5,1212,std,11.14
47.5,1.5,121D,mean,18.44
47.5,1.5,121D,median,17.0
47.5,1.5,121D,rmse,21.74
47.5,1.5,121D,max,43.96
47.5,1.5,121D,min,0.7
47.5,1.5,121D,count,147.0
47.5,1.5,121D,std,11.52
47.5,1.5,1F61,mean,21.46
47.5,1.5,1F61,median,21.16
47.5,1.5,1F61,rmse,24.68
47.5,1.5,1F61,max,43.34
47.5,1.5,1F61,min,0.7
47.5,1.5,1F61,count,144.0
47.5,1.5,1F61,std,12.18
47.5,1.5,2005,mean,17.16
47.5,1.5,2005,median,15.4
47.5,1.5,2005,rmse,20.12
47.5,1.5,2005,max,43.96
47.5,1.5,2005,min,0.7
47.5,1.5,2005,count,145.0
47.5,1.5,2005,std,10.51
47.5,1.5,2055,mean,17.32
47.5,1.5,2055,median,15.18
47.5,1.5,2055,rmse,20.33
47.5,1.5,2055,max,43.96
47.5,1.5,2055,min,0.7
47.5,1.5,2055,count,141.0
47.5,1.5,2055,std,10.64
47.5,1.75,1002,mean,21.27
47.5,1.75,1002,median,21.09
47.5,1.75,1002,rmse,24.45
47.5,1.75,1002,max,42.95
47.5,1.75,1002,min,0.54
47.5,1.75,1002,count,141.0
47.5,1.75,1002,std,12.07
47.5,1.75,104D,mean,18.48
47.5,1.75,104D,median,17.46
47.5,1.75,104D,rmse,21.68
47.5,1.75,104D,max,42.46
47.5,1.75,104D,min,0.42
47.5,1.75,104D,count,136.0
47.5,1.75,104D,std,11.33
47.5,1.75,10CE,mean,18.13
47.5,1.75,10CE,median,16.29
47.5,1.75,10CE,rmse,21.46
47.5,1.75,10CE,max,43.96
47.5,1.75,10CE,min,0.53
47.5,1.75,10CE,count,146.0
47.5,1.75,10CE,std,11.48
47.5,1.75,1210,mean,16.17
47.5,1.75,1210,median,14.39
47.5,1.75,1210,rmse,19.01
47.5,1.75,1210,max,42.46
47.5,1.75,1210,min,0.55
47.5,1.75,1210,count,143.0
47.5,1.75,1210,std,9.99
47.5,1.75,1211,mean,19.85
47.5,1.75,1211,median,19.47
47.5,1.75,1211,rmse,22.96
47.5,1.75,1211,max,42.57
47.5,1.75,1211,min,0.7
47.5,1.75,1211,count,136.0
47.5,1.75,1211,std,11.53
47.5,1.75,1212,mean,17.71
47.5,1.75,1212,median,16.07
47.5,1.75,1212,rmse,20.89
47.5,1.75,1212,max,42.5
47.5,1.75,1212,min,0.55
47.5,1.75,1212,count,141.0
47.5,1.75,1212,std,11.07
47.5,1.75,121D,mean,17.95
47.5,1.75,121D,median,16.07
47.5,1.75,121D,rmse,21.31
47.5,1.75,121D,max,43.95
47.5,1.75,121D,min,0.7
47.5,1.75,121D,count,147.0
47.5,1.75,121D,std,11.48
47.5,1.75,1F61,mean,20.3
47.5,1.75,1F61,median,19.55
47.5,1.75,1F61,rmse,23.7
47.5,1.75,1F61,max,43.41
47.5,1.75,1F61,min,0.7
47.5,1.75,1F61,count,144.0
47.5,1.75,1F61,std,12.24
47.5,1.75,2005,mean,16.04
47.5,1.75,2005,median,13.93
47.5,1.75,2005,rmse,18.91
47.5,1.75,2005,max,44.05
47.5,1.75,2005,min,0.7
47.5,1.75,2005,count,145.0
47.5,1.75,2005,std,10.0
47.5,1.75,2055,mean,16.14
47.5,1.75,2055,median,14.53
47.5,1.75,2055,rmse,18.92
47.5,1.75,2055,max,43.36
47.5,1.75,2055,min,0.7
47.5,1.75,2055,count,141.0
47.5,1.75,2055,std,9.89
47.5,2.0,1002,mean,20.06
47.5,2.0,1002,median,19.55
47.5,2.0,1002,rmse,23.41
47.5,2.0,1002,max,42.77
47.5,2.0,1002,min,0.53
47.5,2.0,1002,count,141.0
47.5,2.0,1002,std,12.07
47.5,2.0,104D,mean,17.42
47.5,2.0,104D,median,16.13
47.5,2.0,104D,rmse,20.73
47.5,2.0,104D,max,42.35
47.5,2.0,104D,min,0.42
47.5,2.0,104D,count,136.0
47.5,2.0,104D,std,11.24
47.5,2.0,10CE,mean,16.86
47.5,2.0,10CE,median,15.08
47.5,2.0,10CE,rmse,20.1
47.5,2.0,10CE,max,43.32
47.5,2.0,10CE,min,0.52
47.5,2.0,10CE,count,146.0
47.5,2.0,10CE,std,10.94
47.5,2.0,1210,mean,15.24
47.5,2.0,1210,median,13.75
47.5,2.0,1210,rmse,18.0
47.5,2.0,1210,max,42.84
47.5,2.0,1210,min,0.54
47.5,2.0,1210,count,143.0
47.5,2.0,1210,std,9.59
47.5,2.0,1211,mean,18.85
47.5,2.0,1211,median,18.17
47.5,2.0,1211,rmse,22.11
47.5,2.0,1211,max,42.4
47.5,2.0,1211,min,0.54
47.5,2.0,1211,count,136.0
47.5,2.0,1211,std,11.55
47.5,2.0,1212,mean,16.66
47.5,2.0,1212,median,15.17
47.5,2.0,1212,rmse,19.8
47.5,2.0,1212,max,42.5
47.5,2.0,1212,min,0.54
47.5,2.0,1212,count,141.0
47.5,2.0,1212,std,10.7
47.5,2.0,121D,mean,16.08
47.5,2.0,121D,median,13.78
47.5,2.0,121D,rmse,19.13
47.5,2.0,121D,max,42.82
47.5,2.0,121D,min,0.54
47.5,2.0,121D,count,147.0
47.5,2.0,121D,std,10.36
47.5,2.0,1F61,mean,18.1
47.5,2.0,1F61,median,17.19
47.5,2.0,1F61,rmse,21.6
47.5,2.0,1F61,max,43.41
47.5,2.0,1F61,min,0.54
47.5,2.0,1F61,count,144.0
47.5,2.0,1F61,std,11.78
47.5,2.0,2005,mean,15.05
47.5,2.0,2005,median,13.3
47.5,2.0,2005,rmse,17.85
47.5,2.0,2005,max,44.05
47.5,2.0,2005,min,0.1
47.5,2.0,2005,count,145.0
47.5,2.0,2005,std,9.6
47.5,2.0,2055,mean,14.69
47.5,2.0,2055,median,13.07
47.5,2.0,2055,rmse,17.21
47.5,2.0,2055,max,35.76
47.5,2.0,2055,min,0.54
47.5,2.0,2055,count,141.0
47.5,2.0,2055,std,8.96
47.5,2.25,1002,mean,18.96
47.5,2.25,1002,median,18.33
47.5,2.25,1002,rmse,22.46
47.5,2.25,1002,max,42.77
47.5,2.25,1002,min,0.7
47.5,2.25,1002,count,141.0
47.5,2.25,1002,std,12.05
47.5,2.25,104D,mean,16.88
47.5,2.25,104D,median,15.16
47.5,2.25,104D,rmse,20.24
47.5,2.25,104D,max,42.35
47.5,2.25,104D,min,0.38
47.5,2.25,104D,count,136.0
47.5,2.25,104D,std,11.17
47.5,2.25,10CE,mean,15.34
47.5,2.25,10CE,median,12.64
47.5,2.25,10CE,rmse,18.35
47.5,2.25,10CE,max,43.32
47.5,2.25,10CE,min,0.7
47.5,2.25,10CE,count,146.0
47.5,2.25,10CE,std,10.07
47.5,2.25,1210,mean,14.48
47.5,2.25,1210,median,12.54
47.5,2.25,1210,rmse,17.15
47.5,2.25,1210,max,42.85
47.5,2.25,1210,min,0.52
47.5,2.25,1210,count,143.0
47.5,2.25,1210,std,9.19
47.5,2.25,1211,mean,17.68
47.5,2.25,1211,median,17.03
47.5,2.25,1211,rmse,20.98
47.5,2.25,1211,max,42.39
47.5,2.25,1211,min,0.53
47.5,2.25,1211,count,136.0
47.5,2.25,1211,std,11.29
47.5,2.25,1212,mean,15.05
47.5,2.25,1212,median,12.97
47.5,2.25,1212,rmse,18.03
47.5,2.25,1212,max,40.58
47.5,2.25,1212,min,0.53
47.5,2.25,1212,count,141.0
47.5,2.25,1212,std,9.93
47.5,2.25,121D,mean,14.42
47.5,2.25,121D,median,12.54
47.5,2.25,121D,rmse,17.12
47.5,2.25,121D,max,34.5
47.5,2.25,121D,min,0.53
47.5,2.25,121D,count,147.0
47.5,2.25,121D,std,9.23
47.5,2.25,1F61,mean,17.02
47.5,2.25,1F61,median,15.2
47.5,2.25,1F61,rmse,20.57
47.5,2.25,1F61,max,43.41
47.5,2.25,1F61,min,0.53
47.5,2.25,1F61,count,144.0
47.5,2.25,1F61,std,11.55
47.5,2.25,2005,mean,14.16
47.5,2.25,2005,median,12.23
47.5,2.25,2005,rmse,16.83
47.5,2.25,2005,max,42.71
47.5,2.25,2005,min,0.1
47.5,2.25,2005,count,145.0
47.5,2.25,2005,std,9.1
47.5,2.25,2055,mean,14.19
47.5,2.25,2055,median,12.27
47.5,2.25,2055,rmse,16.72
47.5,2.25,2055,max,32.81
47.5,2.25,2055,min,0.39
47.5,2.25,2055,count,141.0
47.5,2.25,2055,std,8.84
47.5,2.5,1002,mean,17.73
47.5,2.5,1002,median,17.08
47.5,2.5,1002,rmse,21.23
47.5,2.5,1002,max,42.58
47.5,2.5,1002,min,0.7
47.5,2.5,1002,count,141.0
47.5,2.5,1002,std,11.67
47.5,2.5,104D,mean,16.02
47.5,2.5,104D,median,13.11
47.5,2.5,104D,rmse,19.48
47.5,2.5,104D,max,42.35
47.5,2.5,104D,min,0.3
47.5,2.5,104D,count,136.0
47.5,2.5,104D,std,11.08
47.5,2.5,10CE,mean,14.32
47.5,2.5,10CE,median,12.64
47.5,2.5,10CE,rmse,17.05
47.5,2.5,10CE,max,36.59
47.5,2.5,10CE,min,0.38
47.5,2.5,10CE,count,146.0
47.5,2.5,10CE,std,9.25
47.5,2.5,1210,mean,13.94
47.5,2.5,1210,median,11.87
47.5,2.5,1210,rmse,16.53
47.5,2.5,1210,max,32.81
47.5,2.5,1210,min,0.39
47.5,2.5,1210,count,143.0
47.5,2.5,1210,std,8.89
47.5,2.5,1211,mean,16.6
47.5,2.5,1211,median,15.62
47.5,2.5,1211,rmse,19.94
47.5,2.5,1211,max,42.4
47.5,2.5,1211,min,0.7
47.5,2.5,1211,count,136.0
47.5,2.5,1211,std,11.05
47.5,2.5,1212,mean,14.9
47.5,2.5,1212,median,12.92
47.5,2.5,1212,rmse,17.81
47.5,2.5,1212,max,40.5
47.5,2.5,1212,min,0.39
47.5,2.5,1212,count,141.0
47.5,2.5,1212,std,9.75
47.5,2.5,121D,mean,13.81
47.5,2.5,121D,median,11.83
47.5,2.5,121D,rmse,16.43
47.5,2.5,121D,max,34.5
47.5,2.5,121D,min,0.7
47.5,2.5,121D,count,147.0
47.5,2.5,121D,std,8.9
47.5,2.5,1F61,mean,15.11
47.5,2.5,1F61,median,12.76
47.5,2.5,1F61,rmse,18.42
47.5,2.5,1F61,max,38.5
47.5,2.5,1F61,min,0.58
47.5,2.5,1F61,count,144.0
47.5,2.5,1F61,std,10.54
47.5,2.5,2005,mean,13.75
47.5,2.5,2005,median,12.02
47.5,2.5,2005,rmse,16.3
47.5,2.5,2005,max,32.66
47.5,2.5,2005,min,0.1
47.5,2.5,2005,count,145.0
47.5,2.5,2005,std,8.76
47.5,2.5,2055,mean,13.87
47.5,2.5,2055,median,12.02
47.5,2.5,2055,rmse,16.42
47.5,2.5,2055,max,32.81
47.5,2.5,2055,min,0.0
47.5,2.5,2055,count,141.0
47.5,2.5,2055,std,8.8
47.5,2.75,1002,mean,15.87
47.5,2.75,1002,median,13.43
47.5,2.75,1002,rmse,19.31
47.5,2.75,1002,max,42.55
47.5,2.75,1002,min,0.39
47.5,2.75,1002,count,141.0
47.5,2.75,1002,std,11.01
47.5,2.75,104D,mean,15.33
47.5,2.75,104D,median,12.66
47.5,2.75,104D,rmse,18.77
47.5,2.75,104D,max,42.35
47.5,2.75,104D,min,0.0
47.5,2.75,104D,count,136.0
47.5,2.75,104D,std,10.83
47.5,2.75,10CE,mean,13.87
47.5,2.75,10CE,median,12.16
47.5,2.75,10CE,rmse,16.54
47.5,2.75,10CE,max,36.59
47.5,2.75,10CE,min,0.38
47.5,2.75,10CE,count,146.0
47.5,2.75,10CE,std,9.0
47.5,2.75,1210,mean,13.79
47.5,2.75,1210,median,11.9
47.5,2.75,1210,rmse,16.4
47.5,2.75,1210,max,32.66
47.5,2.75,1210,min,0.0
47.5,2.75,1210,count,143.0
47.5,2.75,1210,std,8.89
47.5,2.75,1211,mean,15.84
47.5,2.75,1211,median,15.28
47.5,2.75,1211,rmse,19.22
47.5,2.75,1211,max,42.4
47.5,2.75,1211,min,0.7
47.5,2.75,1211,count,136.0
47.5,2.75,1211,std,10.88
47.5,2.75,1212,mean,14.88
47.5,2.75,1212,median,13.07
47.5,2.75,1212,rmse,17.89
47.5,2.75,1212,max,40.5
47.5,2.75,1212,min,0.38
47.5,2.75,1212,count,141.0
47.5,2.75,1212,std,9.93
47.5,2.75,121D,mean,13.24
47.5,2.75,121D,median,11.9
47.5,2.75,121D,rmse,15.75
47.5,2.75,121D,max,33.68
47.5,2.75,121D,min,0.0
47.5,2.75,121D,count,147.0
47.5,2.75,121D,std,8.54
47.5,2.75,1F61,mean,14.26
47.5,2.75,1F61,median,11.57
47.5,2.75,1F61,rmse,17.47
47.5,2.75,1F61,max,36.81
47.5,2.75,1F61,min,0.7
47.5,2.75,1F61,count,144.0
47.5,2.75,1F61,std,10.1
47.5,2.75,2005,mean,13.48
47.5,2.75,2005,median,11.9
47.5,2.75,2005,rmse,16.0
47.5,2.75,2005,max,32.66
47.5,2.75,2005,min,0.1
47.5,2.75,2005,count,145.0
47.5,2.75,2005,std,8.61
47.5,2.75,2055,mean,13.51
47.5,2.75,2055,median,12.02
47.5,2.75,2055,rmse,15.96
47.5,2.75,2055,max,30.55
47.5,2.75,2055,min,0.0
47.5,2.75,2055,count,141.0
47.5,2.75,2055,std,8.48
47.5,3.0,1002,mean,13.94
47.5,3.0,1002,median,11.1
47.5,3.0,1002,rmse,17.13
47.5,3.0,1002,max,40.55
47.5,3.0,1002,min,0.38
47.5,3.0,1002,count,141.0
47.5,3.0,1002,std,9.94
47.5,3.0,104D,mean,12.26
47.5,3.0,104D,median,8.73
47.5,3.0,104D,rmse,15.62
47.5,3.0,104D,max,42.35
47.5,3.0,104D,min,0.0
47.5,3.0,104D,count,136.0
47.5,3.0,104D,std,9.67
47.5,3.0,10CE,mean,13.14
47.5,3.0,10CE,median,11.57
47.5,3.0,10CE,rmse,15.69
47.5,3.0,10CE,max,36.59
47.5,3.0,10CE,min,0.0
47.5,3.0,10CE,count,146.0
47.5,3.0,10CE,std,8.58
47.5,3.0,1210,mean,13.32
47.5,3.0,1210,median,11.9
47.5,3.0,1210,rmse,15.8
47.5,3.0,1210,max,32.66
47.5,3.0,1210,min,0.0
47.5,3.0,1210,count,143.0
47.5,3.0,1210,std,8.5
47.5,3.0,1211,mean,13.64
47.5,3.0,1211,median,9.65
47.5,3.0,1211,rmse,17.06
47.5,3.0,1211,max,40.86
47.5,3.0,1211,min,0.38
47.5,3.0,1211,count,136.0
47.5,3.0,1211,std,10.24
47.5,3.0,1212,mean,14.06
47.5,3.0,1212,median,12.98
47.5,3.0,1212,rmse,16.76
47.5,3.0,1212,max,32.81
47.5,3.0,1212,min,0.0
47.5,3.0,1212,count,141.0
47.5,3.0,1212,std,9.12
47.5,3.0,121D,mean,12.8
47.5,3.0,121D,median,11.58
47.5,3.0,121D,rmse,15.17
47.5,3.0,121D,max,29.79
47.5,3.0,121D,min,0.0
47.5,3.0,121D,count,147.0
47.5,3.0,121D,std,8.14
47.5,3.0,1F61,mean,12.5
47.5,3.0,1F61,median,9.54
47.5,3.0,1F61,rmse,15.64
47.5,3.0,1F61,max,35.86
47.5,3.0,1F61,min,0.38
47.5,3.0,1F61,count,144.0
47.5,3.0,1F61,std,9.39
47.5,3.0,2005,mean,13.47
47.5,3.0,2005,median,12.02
47.5,3.0,2005,rmse,16.01
47.5,3.0,2005,max,32.66
47.5,3.0,2005,min,0.1
47.5,3.0,2005,count,145.0
47.5,3.0,2005,std,8.65
47.5,3.0,2055,mean,13.49
47.5,3.0,2055,median,11.99
47.5,3.0,2055,rmse,15.91
47.5,3.0,2055,max,30.55
47.5,3.0,2055,min,0.0
47.5,3.0,2055,count,141.0
47.5,3.0,2055,std,8.44
47.5,3.25,1002,mean,10.09
47.5,3.25,1002,median,7.0
47.5,3.25,1002,rmse,13.03
47.5,3.25,1002,max,36.6
47.5,3.25,1002,min,0.37
47.5,3.25,1002,count,141.0
47.5,3.25,1002,std,8.23
47.5,3.25,104D,mean,9.49
47.5,3.25,104D,median,6.52
47.5,3.25,104D,rmse,12.46
47.5,3.25,104D,max,42.35
47.5,3.25,104D,min,0.0
47.5,3.25,104D,count,136.0
47.5,3.25,104D,std,8.08
47.5,3.25,10CE,mean,10.76
47.5,3.25,10CE,median,9.1
47.5,3.25,10CE,rmse,13.13
47.5,3.25,10CE,max,35.64
47.5,3.25,10CE,min,0.0
47.5,3.25,10CE,count,146.0
47.5,3.25,10CE,std,7.53
47.5,3.25,1210,mean,11.28
47.5,3.25,1210,median,9.27
47.5,3.25,1210,rmse,13.73
47.5,3.25,1210,max,32.6
47.5,3.25,1210,min,0.0
47.5,3.25,1210,count,143.0
47.5,3.25,1210,std,7.83
47.5,3.25,1211,mean,9.94
47.5,3.25,1211,median,6.31
47.5,3.25,1211,rmse,12.79
47.5,3.25,1211,max,32.66
47.5,3.25,1211,min,0.37
47.5,3.25,1211,count,136.0
47.5,3.25,1211,std,8.04
47.5,3.25,1212,mean,12.63
47.5,3.25,1212,median,11.49
47.5,3.25,1212,rmse,15.31
47.5,3.25,1212,max,32.81
47.5,3.25,1212,min,0.0
47.5,3.25,1212,count,141.0
47.5,3.25,1212,std,8.65
47.5,3.25,121D,mean,10.48
47.5,3.25,121D,median,8.3
47.5,3.25,121D,rmse,12.94
47.5,3.25,121D,max,29.51
47.5,3.25,121D,min,0.0
47.5,3.25,121D,count,147.0
47.5,3.25,121D,std,7.6
47.5,3.25,1F61,mean,9.45
47.5,3.25,1F61,median,6.08
47.5,3.25,1F61,rmse,12.36
47.5,3.25,1F61,max,35.86
47.5,3.25,1F61,min,0.38
47.5,3.25,1F61,count,144.0
47.5,3.25,1F61,std,7.97
47.5,3.25,2005,mean,11.2
47.5,3.25,2005,median,9.59
47.5,3.25,2005,rmse,13.53
47.5,3.25,2005,max,30.47
47.5,3.25,2005,min,0.1
47.5,3.25,2005,count,145.0
47.5,3.25,2005,std,7.59
47.5,3.25,2055,mean,11.46
47.5,3.25,2055,median,10.6
47.5,3.25,2055,rmse,13.79
47.5,3.25,2055,max,30.55
47.5,3.25,2055,min,0.0
47.5,3.25,2055,count,141.0
47.5,3.25,2055,std,7.66
47.5,3.5,1002,mean,7.24
47.5,3.5,1002,median,4.96
47.5,3.5,1002,rmse,9.71
47.5,3.5,1002,max,36.96
47.5,3.5,1002,min,0.31
47.5,3.5,1002,count,141.0
47.5,3.5,1002,std,6.46
47.5,3.5,104D,mean,6.88
47.5,3.5,104D,median,4.76
47.5,3.5,104D,rmse,9.39
47.5,3.5,104D,max,42.19
47.5,3.5,104D,min,0.0
47.5,3.5,104D,count,136.0
47.5,3.5,104D,std,6.4
47.5,3.5,10CE,mean,8.06
47.5,3.5,10CE,median,5.4
47.5,3.5,10CE,rmse,10.23
47.5,3.5,10CE,max,30.55
47.5,3.5,10CE,min,0.0
47.5,3.5,10CE,count,146.0
47.5,3.5,10CE,std,6.3
47.5,3.5,1210,mean,7.43
47.5,3.5,1210,median,5.18
47.5,3.5,1210,rmse,9.46
47.5,3.5,1210,max,25.4
47.5,3.5,1210,min,0.0
47.5,3.5,1210,count,143.0
47.5,3.5,1210,std,5.85
47.5,3.5,1211,mean,8.0
47.5,3.5,1211,median,4.9
47.5,3.5,1211,rmse,10.66
47.5,3.5,1211,max,32.6
47.5,3.5,1211,min,0.32
47.5,3.5,1211,count,136.0
47.5,3.5,1211,std,7.04
47.5,3.5,1212,mean,9.21
47.5,3.5,1212,median,6.79
47.5,3.5,1212,rmse,11.88
47.5,3.5,1212,max,32.6
47.5,3.5,1212,min,0.0
47.5,3.5,1212,count,141.0
47.5,3.5,1212,std,7.5
47.5,3.5,121D,mean,7.47
47.5,3.5,121D,median,5.29
47.5,3.5,121D,rmse,9.49
47.5,3.5,121D,max,25.4
47.5,3.5,121D,min,0.0
47.5,3.5,121D,count,147.0
47.5,3.5,121D,std,5.85
47.5,3.5,1F61,mean,6.37
47.5,3.5,1F61,median,4.61
47.5,3.5,1F61,rmse,8.75
47.5,3.5,1F61,max,34.5
47.5,3.5,1F61,min,0.0
47.5,3.5,1F61,count,144.0
47.5,3.5,1F61,std,6.0
47.5,3.5,2005,mean,7.89
47.5,3.5,2005,median,5.73
47.5,3.5,2005,rmse,10.07
47.5,3.5,2005,max,27.4
47.5,3.5,2005,min,0.07
47.5,3.5,2005,count,145.0
47.5,3.5,2005,std,6.25
47.5,3.5,2055,mean,7.6
47.5,3.5,2055,median,4.93
47.5,3.5,2055,rmse,10.03
47.5,3.5,2055,max,27.4
47.5,3.5,2055,min,0.0
47.5,3.5,2055,count,141.0
47.5,3.5,2055,std,6.54
47.5,3.75,1002,mean,5.17
47.5,3.75,1002,median,4.01
47.5,3.75,1002,rmse,6.93
47.5,3.75,1002,max,36.96
47.5,3.75,1002,min,0.0
47.5,3.75,1002,count,141.0
47.5,3.75,1002,std,4.61
47.5,3.75,104D,mean,4.25
47.5,3.75,104D,median,3.84
47.5,3.75,104D,rmse,5.2
47.5,3.75,104D,max,17.4
47.5,3.75,104D,min,0.0
47.5,3.75,104D,count,136.0
47.5,3.75,104D,std,3.0
47.5,3.75,10CE,mean,6.03
47.5,3.75,10CE,median,4.61
47.5,3.75,10CE,rmse,8.05
47.5,3.75,10CE,max,30.55
47.5,3.75,10CE,min,0.0
47.5,3.75,10CE,count,146.0
47.5,3.75,10CE,std,5.33
47.5,3.75,1210,mean,4.32
47.5,3.75,1210,median,3.4
47.5,3.75,1210,rmse,5.44
47.5,3.75,1210,max,16.07
47.5,3.75,1210,min,0.0
47.5,3.75,1210,count,143.0
47.5,3.75,1210,std,3.3
47.5,3.75,1211,mean,4.91
47.5,3.75,1211,median,4.0
47.5,3.75,1211,rmse,6.34
47.5,3.75,1211,max,20.94
47.5,3.75,1211,min,0.0
47.5,3.75,1211,count,136.0
47.5,3.75,1211,std,4.01
47.5,3.75,1212,mean,5.7
47.5,3.75,1212,median,4.35
47.5,3.75,1212,rmse,7.34
47.5,3.75,1212,max,21.08
47.5,3.75,1212,min,0.0
47.5,3.75,1212,count,141.0
47.5,3.75,1212,std,4.61
47.5,3.75,121D,mean,5.57
47.5,3.75,121D,median,4.6
47.5,3.75,121D,rmse,7.07
47.5,3.75,121D,max,21.4
47.5,3.75,121D,min,0.0
47.5,3.75,121D,count,147.0
47.5,3.75,121D,std,4.35
47.5,3.75,1F61,mean,4.13
47.5,3.75,1F61,median,3.54
47.5,3.75,1F61,rmse,5.35
47.5,3.75,1F61,max,23.4
47.5,3.75,1F61,min,0.0
47.5,3.75,1F61,count,144.0
47.5,3.75,1F61,std,3.4
47.5,3.75,2005,mean,4.84
47.5,3.75,2005,median,4.07
47.5,3.75,2005,rmse,6.22
47.5,3.75,2005,max,28.76
47.5,3.75,2005,min,0.0
47.5,3.75,2005,count,145.0
47.5,3.75,2005,std,3.9
47.5,3.75,2055,mean,4.83
47.5,3.75,2055,median,3.85
47.5,3.75,2055,rmse,6.54
47.5,3.75,2055,max,30.55
47.5,3.75,2055,min,0.0
47.5,3.75,2055,count,141.0
47.5,3.75,2055,std,4.41
47.5,4.0,1002,mean,4.3
47.5,4.0,1002,median,3.75
47.5,4.0,1002,rmse,5.72
47.5,4.0,1002,max,36.96
47.5,4.0,1002,min,0.0
47.5,4.0,1002,count,141.0
47.5,4.0,1002,std,3.77
47.5,4.0,104D,mean,3.4
47.5,4.0,104D,median,3.1
47.5,4.0,104D,rmse,3.87
47.5,4.0,104D,max,10.6
47.5,4.0,104D,min,0.0
47.5,4.0,104D,count,136.0
47.5,4.0,104D,std,1.85
47.5,4.0,10CE,mean,4.52
47.5,4.0,10CE,median,3.62
47.5,4.0,10CE,rmse,6.46
47.5,4.0,10CE,max,35.66
47.5,4.0,10CE,min,0.0
47.5,4.0,10CE,count,146.0
47.5,4.0,10CE,std,4.61
47.5,4.0,1210,mean,3.63
47.5,4.0,1210,median,3.05
47.5,4.0,1210,rmse,4.39
47.5,4.0,1210,max,13.3
47.5,4.0,1210,min,0.0
47.5,4.0,1210,count,143.0
47.5,4.0,1210,std,2.46
47.5,4.0,1211,mean,3.82
47.5,4.0,1211,median,3.36
47.5,4.0,1211,rmse,4.43
47.5,4.0,1211,max,14.07
47.5,4.0,1211,min,0.0
47.5,4.0,1211,count,136.0
47.5,4.0,1211,std,2.24
47.5,4.0,1212,mean,4.42
47.5,4.0,1212,median,3.59
47.5,4.0,1212,rmse,5.55
47.5,4.0,1212,max,16.07
47.5,4.0,1212,min,0.0
47.5,4.0,1212,count,141.0
47.5,4.0,1212,std,3.35
47.5,4.0,121D,mean,4.21
47.5,4.0,121D,median,3.61
47.5,4.0,121D,rmse,5.26
47.5,4.0,121D,max,17.14
47.5,4.0,121D,min,0.0
47.5,4.0,121D,count,147.0
47.5,4.0,121D,std,3.15
47.5,4.0,1F61,mean,3.32
47.5,4.0,1F61,median,2.94
47.5,4.0,1F61,rmse,3.95
47.5,4.0,1F61,max,13.5
47.5,4.0,1F61,min,0.07
47.5,4.0,1F61,count,144.0
47.5,4.0,1F61,std,2.14
47.5,4.0,2005,mean,3.75
47.5,4.0,2005,median,3.17
47.5,4.0,2005,rmse,4.49
47.5,4.0,2005,max,14.07
47.5,4.0,2005,min,0.0
47.5,4.0,2005,count,145.0
47.5,4.0,2005,std,2.47
47.5,4.0,2055,mean,3.9
47.5,4.0,2055,median,3.17
47.5,4.0,2055,rmse,5.19
47.5,4.0,2055,max,29.56
47.5,4.0,2055,min,0.0
47.5,4.0,2055,count,141.0
47.5,4.0,2055,std,3.42
47.5,4.25,1002,mean,3.48
47.5,4.25,1002,median,3.17
47.5,4.25,1002,rmse,3.97
47.5,4.25,1002,max,13.43
47.5,4.25,1002,min,0.0
47.5,4.25,1002,count,141.0
47.5,4.25,1002,std,1.92
47.5,4.25,104D,mean,3.05
47.5,4.25,104D,median,2.74
47.5,4.25,104D,rmse,3.5
47.5,4.25,104D,max,8.4
47.5,4.25,104D,min,0.0
47.5,4.25,104D,count,136.0
47.5,4.25,104D,std,1.7
47.5,4.25,10CE,mean,3.6
47.5,4.25,10CE,median,3.04
47.5,4.25,10CE,rmse,4.84
47.5,4.25,10CE,max,29.56
47.5,4.25,10CE,min,0.0
47.5,4.25,10CE,count,146.0
47.5,4.25,10CE,std,3.23
47.5,4.25,1210,mean,3.17
47.5,4.25,1210,median,2.78
47.5,4.25,1210,rmse,3.81
47.5,4.25,1210,max,13.43
47.5,4.25,1210,min,0.0
47.5,4.25,1210,count,143.0
47.5,4.25,1210,std,2.12
47.5,4.25,1211,mean,3.3
47.5,4.25,1211,median,3.05
47.5,4.25,1211,rmse,3.72
47.5,4.25,1211,max,10.6
47.5,4.25,1211,min,0.0
47.5,4.25,1211,count,136.0
47.5,4.25,1211,std,1.71
47.5,4.25,1212,mean,3.73
47.5,4.25,1212,median,3.04
47.5,4.25,1212,rmse,4.57
47.5,4.25,1212,max,13.31
47.5,4.25,1212,min,0.0
47.5,4.25,1212,count,141.0
47.5,4.25,1212,std,2.64
47.5,4.25,121D,mean,3.48
47.5,4.25,121D,median,3.05
47.5,4.25,121D,rmse,4.34
47.5,4.25,121D,max,18.05
47.5,4.25,121D,min,0.0
47.5,4.25,121D,count,147.0
47.5,4.25,121D,std,2.6
47.5,4.25,1F61,mean,3.08
47.5,4.25,1F61,median,2.8
47.5,4.25,1F61,rmse,3.62
47.5,4.25,1F61,max,13.3
47.5,4.25,1F61,min,0.0
47.5,4.25,1F61,count,144.0
