WAP96,WAP100,WAP101,WAP102,WAP104,WAP105,WAP106,WAP107,WAP108,WAP112,WAP114,WAP115,WAP116,WAP117,WAP118,LABEL,X,Y,DEVICE
-82,100,100,-91,100,100,100,100,100,100,100,100,100,100,-88,1615,1.5,14.8,1F61
-69,100,100,-81,100,-89,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,2055
-68,100,100,-81,100,-96,100,100,100,100,100,-93,100,100,-93,1615,1.5,14.8,2055
-67,100,100,-83,100,-95,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,2055
-73,100,100,-84,100,-91,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,2055
-72,100,100,-82,100,-95,100,100,100,100,100,100,100,100,-90,1615,1.5,14.8,2055
-77,100,100,-83,100,100,100,100,100,100,100,100,100,100,-90,1615,1.5,14.8,2055
-67,100,100,-82,100,-94,100,100,100,100,100,100,100,100,-90,1615,1.5,14.8,2055
-64,100,100,-83,100,-95,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,2055
-71,100,100,-81,100,-93,100,100,100,100,100,100,100,100,-96,1615,1.5,14.8,2055
-71,100,100,-88,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,2005
-80,100,100,-93,100,-91,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,2005
-75,100,100,100,100,-93,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,2005
-78,100,100,-88,100,100,100,100,100,100,100,100,100,100,-88,1615,1.5,14.8,2005
-77,100,100,-88,100,-97,100,100,100,100,100,-98,100,100,-90,1615,1.5,14.8,2005
-66,100,100,-85,100,-94,100,100,100,100,100,-95,100,100,-90,1615,1.5,14.8,2005
-73,100,100,-83,100,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,2005
-69,100,100,-87,100,-93,100,100,100,100,100,100,100,100,-88,1615,1.5,14.8,2005
-68,100,100,-83,100,100,100,100,100,100,100,-92,100,100,-85,1615,1.5,14.8,2005
-62,100,100,-91,100,100,100,100,100,100,100,100,100,100,-94,1613,1.5,12.5,104D
-61,100,100,-87,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,104D
-62,100,100,-88,100,100,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,104D
-61,100,100,-87,100,100,100,100,100,100,100,-100,100,100,100,1613,1.5,12.5,104D
-68,100,100,-96,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1002
-65,100,100,-93,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1002
-72,100,100,-93,100,100,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,1002
-71,100,100,-97,100,100,100,100,100,100,100,100,100,100,-97,1613,1.5,12.5,10CE
-68,100,100,-95,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1210
-63,100,100,-90,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1210
-70,100,100,-91,100,100,100,100,100,100,100,100,100,100,-93,1613,1.5,12.5,1210
-68,100,100,-95,100,100,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,1210
-71,100,100,-93,100,100,100,100,100,100,100,-99,100,100,100,1613,1.5,12.5,1211
-64,100,100,-89,100,100,100,100,100,100,100,100,100,100,-91,1613,1.5,12.5,1211
-71,100,100,-91,100,-95,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210
-64,100,100,100,100,100,100,100,100,100,100,-95,100,100,-93,1613,1.5,12.5,1210
-66,100,100,-87,100,-95,100,100,100,100,100,100,100,100,-97,1613,1.5,12.5,1210
-65,100,100,-90,100,100,100,100,100,100,100,100,100,100,-97,1613,1.5,12.5,1210
-64,100,100,-89,100,-97,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D
-62,100,100,-91,100,100,100,100,100,100,100,100,100,100,-91,1613,1.5,12.5,1F61
-69,100,100,-96,100,100,100,100,100,100,100,100,100,100,-93,1613,1.5,12.5,1F61
-67,100,100,-87,100,-96,100,100,100,100,100,100,100,100,-93,1613,1.5,12.5,2055
-65,100,100,-86,100,100,100,100,100,100,100,-94,100,100,-97,1613,1.5,12.5,2055
-67,100,100,-85,100,-95,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,2055
-67,100,100,-86,100,100,100,100,100,100,100,100,100,100,-92,1613,1.5,12.5,2055
-66,100,100,-89,100,100,100,100,100,100,100,100,100,100,-94,1613,1.5,12.5,2005
-66,100,100,-89,100,100,100,100,100,100,100,-95,100,100,-95,1613,1.5,12.5,2005
-66,100,100,-89,100,100,100,100,100,100,100,100,100,100,-92,1613,1.5,12.5,2005
-67,100,100,-81,100,100,100,100,100,100,100,-95,100,100,100,1611,1.5,10.2,104D
-69,100,100,-81,100,100,100,100,100,100,100,100,100,100,-98,1611,1.5,10.2,104D
-74,100,100,-89,100,100,100,100,100,100,100,100,100,100,-97,1611,1.5,10.2,1002
-73,100,100,-87,100,100,100,100,100,100,100,100,100,100,-93,1611,1.5,10.2,10CE
-76,100,100,-89,100,-96,100,100,100,100,100,100,100,100,100,1611,1.5,10.2,10CE
-77,100,100,-91,100,100,100,100,100,100,100,100,100,100,-98,1611,1.5,10.2,10CE
-78,100,100,-81,100,100,100,100,100,100,100,100,100,100,-91,1611,1.5,10.2,10CE
-72,100,100,-84,100,100,100,100,100,100,100,100,100,100,-91,1611,1.5,10.2,10CE
-72,100,100,-81,100,100,100,100,100,100,100,-98,100,100,100,1611,1.5,10.2,1210
-72,100,100,-89,100,100,100,100,100,100,100,100,100,100,-95,1611,1.5,10.2,1210
-67,100,100,-79,100,100,100,100,100,100,100,100,100,100,-94,1611,1.5,10.2,1211
-73,100,100,-80,100,100,100,100,100,100,100,-98,100,100,-97,1611,1.5,10.2,1211
-67,100,100,-85,100,100,100,100,100,100,100,100,100,100,-92,1611,1.5,10.2,1211
-67,100,100,-78,100,100,100,100,100,100,100,-94,100,100,100,1611,1.5,10.2,1211
-72,100,100,-79,100,100,100,100,100,100,100,-96,100,100,100,1611,1.5,10.2,1211
-67,100,100,-80,100,100,100,100,100,100,100,-95,100,100,100,1611,1.5,10.2,1211
-68,100,100,-85,100,100,100,100,100,100,100,-98,100,100,-98,1611,1.5,10.2,1211
-74,100,100,-81,100,100,100,100,100,100,100,100,100,100,-97,1611,1.5,10.2,1210
-72,100,100,-83,100,100,100,100,100,100,100,100,100,100,-95,1611,1.5,10.2,1210
-71,100,100,-85,100,100,100,100,100,100,100,100,100,100,-96,1611,1.5,10.2,121D
-66,100,100,-88,100,100,100,100,100,100,100,100,100,100,-94,1611,1.5,10.2,1F61
-72,100,100,-93,100,100,100,100,100,100,100,100,100,100,-94,1611,1.5,10.2,1F61
-80,100,100,-89,100,100,100,100,100,100,100,100,100,100,-93,1611,1.5,10.2,1F61
-75,100,100,-85,100,100,100,100,100,100,100,100,100,100,-96,1611,1.5,10.2,1F61
-70,100,100,-86,100,100,100,100,100,100,100,100,100,100,-97,1611,1.5,10.2,1F61
-76,100,100,-87,100,100,100,100,100,100,100,-93,100,100,-88,1611,1.5,10.2,1F61
-72,100,100,-85,100,100,100,100,100,100,100,-94,100,100,100,1611,1.5,10.2,2055
-72,100,100,-80,100,100,100,100,100,100,100,-94,100,100,100,1611,1.5,10.2,2055
-68,100,100,-79,100,100,100,100,100,100,100,-95,100,100,100,1611,1.5,10.2,2055
-71,100,100,-80,100,100,100,100,100,100,100,-95,100,100,100,1611,1.5,10.2,2055
-72,100,100,-84,100,100,100,100,100,100,100,100,100,100,-97,1611,1.5,10.2,2005
-73,100,100,-87,100,100,100,100,100,100,100,100,100,100,-95,1611,1.5,10.2,2005
-78,100,100,-83,100,100,100,100,100,100,100,100,100,100,-94,1611,1.5,10.2,2005
-69,100,100,-85,100,100,100,100,100,100,100,100,100,100,-94,1611,1.5,10.2,2005
-81,100,100,-91,100,100,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,104D
-80,100,100,-93,100,-95,100,100,100,100,100,-94,100,100,-92,1635,3.5,14.8,104D
-75,100,100,-89,100,-93,100,100,100,100,100,-94,100,100,-87,1635,3.5,14.8,104D
-77,100,100,-83,100,-91,100,100,100,100,100,100,100,100,-86,1635,3.5,14.8,104D
-81,100,100,-92,100,-89,100,100,100,100,100,-94,100,100,-89,1635,3.5,14.8,104D
-84,100,100,-92,100,-96,100,100,100,100,100,100,100,100,-83,1635,3.5,14.8,104D
-78,100,100,-86,100,-91,100,100,100,100,100,-92,100,100,100,1635,3.5,14.8,104D
-77,100,100,-85,100,100,100,100,100,100,100,-94,100,100,-93,1635,3.5,14.8,104D
-81,100,100,-91,100,100,100,100,100,100,100,-92,100,100,-87,1635,3.5,14.8,104D
-80,100,100,-85,100,-95,100,100,100,100,100,100,100,100,-88,1635,3.5,14.8,104D
-82,100,100,100,100,-97,100,100,100,100,100,100,100,100,-89,1635,3.5,14.8,1002
