WAP96,WAP100,WAP101,WAP102,WAP103,WAP104,WAP105,WAP106,WAP107,WAP108,WAP110,WAP112,WAP114,WAP115,WAP116,WAP117,WAP118,LABEL,X,Y,DEVICE,OLDLABEL,FIXX,FIXY,OLDX,OLDY,ROOMID
-70,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-89,100,100,-97,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-70,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-61,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-71,100,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-62,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1F61,1613,1.3,12.1,-29.9,18.1,16
-62,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-91,1613,1.5,12.5,1F61,1613,1.3,12.1,-29.9,18.1,16
-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1F61,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1F61,1613,1.3,12.1,-29.9,18.1,16
